port,status,service,banner
576,closed,unknown,
577,closed,unknown,
578,closed,unknown,
579,closed,unknown,
580,closed,unknown,
581,closed,unknown,
582,closed,unknown,
583,closed,unknown,
584,closed,unknown,
585,closed,unknown,
586,closed,unknown,
587,closed,smtp-submission,
588,closed,unknown,
589,closed,unknown,
590,closed,unknown,
591,closed,unknown,
592,closed,unknown,
593,closed,unknown,
594,closed,unknown,
595,closed,unknown,
596,closed,unknown,
597,closed,unknown,
598,closed,unknown,
599,closed,unknown,
600,closed,unknown,
601,closed,unknown,
602,closed,unknown,
603,closed,unknown,
604,closed,unknown,
605,closed,unknown,
606,closed,unknown,
607,closed,unknown,
608,closed,unknown,
609,closed,unknown,
610,closed,unknown,
611,closed,unknown,
612,closed,unknown,
613,closed,unknown,
614,closed,unknown,
615,closed,unknown,
616,closed,unknown,
617,closed,unknown,
618,closed,unknown,
619,closed,unknown,
620,closed,unknown,
621,closed,unknown,
622,closed,unknown,
623,closed,unknown,
624,closed,unknown,
625,closed,unknown,
626,closed,unknown,
627,closed,unknown,
628,closed,unknown,
629,closed,unknown,
630,closed,unknown,
631,closed,ipp,
632,closed,unknown,
633,closed,unknown,
634,closed,unknown,
635,closed,unknown,
636,closed,unknown,
637,closed,unknown,
638,closed,unknown,
639,closed,unknown,
640,closed,unknown,
641,closed,unknown,
642,closed,unknown,
643,closed,unknown,
644,closed,unknown,
645,closed,unknown,
646,closed,unknown,
647,closed,unknown,
648,closed,unknown,
649,closed,unknown,
650,closed,unknown,
651,closed,unknown,
652,closed,unknown,
653,closed,unknown,
654,closed,unknown,
655,closed,unknown,
656,closed,unknown,
657,closed,unknown,
658,closed,unknown,
659,closed,unknown,
660,closed,unknown,
661,closed,unknown,
662,closed,unknown,
663,closed,unknown,
664,closed,unknown,
665,closed,unknown,
666,closed,unknown,
667,closed,unknown,
668,closed,unknown,
669,closed,unknown,
670,closed,unknown,
671,closed,unknown,
672,closed,unknown,
673,closed,unknown,
674,closed,unknown,
675,closed,unknown,
676,closed,unknown,
677,closed,unknown,
678,closed,unknown,
679,closed,unknown,
680,closed,unknown,
681,closed,unknown,
682,closed,unknown,
683,closed,unknown,
684,closed,unknown,
685,closed,unknown,
686,closed,unknown,
687,closed,unknown,
688,closed,unknown,
689,closed,unknown,
690,closed,unknown,
691,closed,unknown,
692,closed,unknown,
693,closed,unknown,
694,closed,unknown,
695,closed,unknown,
696,closed,unknown,
697,closed,unknown,
698,closed,unknown,
699,closed,unknown,
700,closed,unknown,
701,closed,unknown,
702,closed,unknown,
703,closed,unknown,
704,closed,unknown,
705,closed,unknown,
706,closed,unknown,
707,closed,unknown,
708,closed,unknown,
709,closed,unknown,
710,closed,unknown,
711,closed,unknown,
712,closed,unknown,
713,closed,unknown,
714,closed,unknown,
715,closed,unknown,
716,closed,unknown,
717,closed,unknown,
718,closed,unknown,
719,closed,unknown,
720,closed,unknown,
721,closed,unknown,
722,closed,unknown,
723,closed,unknown,
724,closed,unknown,
725,closed,unknown,
726,closed,unknown,
727,closed,unknown,
728,closed,unknown,
729,closed,unknown,
730,closed,unknown,
731,closed,unknown,
732,closed,unknown,
733,closed,unknown,
734,closed,unknown,
735,closed,unknown,
736,closed,unknown,
737,closed,unknown,
738,closed,unknown,
739,closed,unknown,
740,closed,unknown,
741,closed,unknown,
742,closed,unknown,
743,closed,unknown,
744,closed,unknown,
745,closed,unknown,
746,closed,unknown,
747,closed,unknown,
748,closed,unknown,
749,closed,unknown,
750,closed,unknown,
751,closed,unknown,
752,closed,unknown,
753,closed,unknown,
754,closed,unknown,
755,closed,unknown,
756,closed,unknown,
757,closed,unknown,
758,closed,unknown,
759,closed,unknown,
760,closed,unknown,
761,closed,unknown,
762,closed,unknown,
763,closed,unknown,
764,closed,unknown,
765,closed,unknown,
766,closed,unknown,
767,closed,unknown,
768,closed,unknown,
769,closed,unknown,
770,closed,unknown,
771,closed,unknown,
772,closed,unknown,
773,closed,unknown,
774,closed,unknown,
775,closed,unknown,
776,closed,unknown,
777,closed,unknown,
778,closed,unknown,
779,closed,unknown,
780,closed,unknown,
781,closed,unknown,
782,closed,unknown,
783,closed,unknown,
784,closed,unknown,
785,closed,unknown,
786,closed,unknown,
787,closed,unknown,
788,closed,unknown,
789,closed,unknown,
790,closed,unknown,
791,closed,unknown,
792,closed,unknown,
793,closed,unknown,
794,closed,unknown,
795,closed,unknown,
796,closed,unknown,
797,closed,unknown,
798,closed,unknown,
799,closed,unknown,
800,closed,unknown,
801,closed,unknown,
802,closed,unknown,
803,closed,unknown,
804,closed,unknown,
805,closed,unknown,
806,closed,unknown,
807,closed,unknown,
808,closed,unknown,
809,closed,unknown,
810,closed,unknown,
811,closed,unknown,
812,closed,unknown,
813,closed,unknown,
814,closed,unknown,
815,closed,unknown,
816,closed,unknown,
817,closed,unknown,
818,closed,unknown,
819,closed,unknown,
820,closed,unknown,
821,closed,unknown,
822,closed,unknown,
823,closed,unknown,
824,closed,unknown,
825,closed,unknown,
826,closed,unknown,
827,closed,unknown,
828,closed,unknown,
829,closed,unknown,
830,closed,unknown,
831,closed,unknown,
832,closed,unknown,
833,closed,unknown,
834,closed,unknown,
835,closed,unknown,
836,closed,unknown,
837,closed,unknown,
838,closed,unknown,
839,closed,unknown,
840,closed,unknown,
841,closed,unknown,
842,closed,unknown,
843,closed,unknown,
844,closed,unknown,
845,closed,unknown,
846,closed,unknown,
847,closed,unknown,
848,closed,unknown,
849,closed,unknown,
850,closed,unknown,
851,closed,unknown,
852,closed,unknown,
853,closed,unknown,
854,closed,unknown,
855,closed,unknown,
856,closed,unknown,
857,closed,unknown,
858,closed,unknown,
859,closed,unknown,
860,closed,unknown,
861,closed,unknown,
862,closed,unknown,
863,closed,unknown,
864,closed,unknown,
865,closed,unknown,
866,closed,unknown,
867,closed,unknown,
868,closed,unknown,
869,closed,unknown,
870,closed,unknown,
871,closed,unknown,
872,closed,unknown,
873,closed,unknown,
874,closed,unknown,
875,closed,unknown,
876,closed,unknown,
877,closed,unknown,
878,closed,unknown,
879,closed,unknown,
880,closed,unknown,
881,closed,unknown,
882,closed,unknown,
883,closed,unknown,
884,closed,unknown,
885,closed,unknown,
886,closed,unknown,
887,closed,unknown,
888,closed,unknown,
889,closed,unknown,
890,closed,unknown,
891,closed,unknown,
892,closed,unknown,
893,closed,unknown,
894,closed,unknown,
895,closed,unknown,
896,closed,unknown,
897,closed,unknown,
898,closed,unknown,
899,closed,unknown,
900,closed,unknown,
901,closed,unknown,
902,closed,unknown,
903,closed,unknown,
904,closed,unknown,
905,closed,unknown,
906,closed,unknown,
907,closed,unknown,
908,closed,unknown,
909,closed,unknown,
910,closed,unknown,
911,closed,unknown,
912,closed,unknown,
913,closed,unknown,
914,closed,unknown,
915,closed,unknown,
916,closed,unknown,
917,closed,unknown,
918,closed,unknown,
919,closed,unknown,
920,closed,unknown,
921,closed,unknown,
922,closed,unknown,
923,closed,unknown,
924,closed,unknown,
925,closed,unknown,
926,closed,unknown,
927,closed,unknown,
928,closed,unknown,
929,closed,unknown,
930,closed,unknown,
931,closed,unknown,
932,closed,unknown,
933,closed,unknown,
934,closed,unknown,
935,closed,unknown,
936,closed,unknown,
937,closed,unknown,
938,closed,unknown,
939,closed,unknown,
940,closed,unknown,
941,closed,unknown,
942,closed,unknown,
943,closed,unknown,
944,closed,unknown,
945,closed,unknown,
946,closed,unknown,
947,closed,unknown,
948,closed,unknown,
949,closed,unknown,
950,closed,unknown,
951,closed,unknown,
952,closed,unknown,
953,closed,unknown,
954,closed,unknown,
955,closed,unknown,
956,closed,unknown,
957,closed,unknown,
958,closed,unknown,
959,closed,unknown,
960,closed,unknown,
961,closed,unknown,
962,closed,unknown,
963,closed,unknown,
964,closed,unknown,
965,closed,unknown,
966,closed,unknown,
967,closed,unknown,
968,closed,unknown,
969,closed,unknown,
970,closed,unknown,
971,closed,unknown,
972,closed,unknown,
973,closed,unknown,
974,closed,unknown,
975,closed,unknown,
976,closed,unknown,
977,closed,unknown,
978,closed,unknown,
979,closed,unknown,
980,closed,unknown,
981,closed,unknown,
982,closed,unknown,
983,closed,unknown,
984,closed,unknown,
985,closed,unknown,
986,closed,unknown,
987,closed,unknown,
988,closed,unknown,
989,closed,unknown,
990,closed,unknown,
991,closed,unknown,
992,closed,unknown,
993,closed,imaps,
994,closed,unknown,
995,closed,pop3s,
996,closed,unknown,
997,closed,unknown,
998,closed,unknown,
999,closed,unknown,
1000,closed,unknown,
